CarNumber,Refund,Fines,Make,Model,Year
E33577152RUS,2.0,2000.0,Ford,Focus,2002
Y973O8197RUS,1.0,34800.0,Ford,Focus,2008
E773EH197RUS,2.0,6800.0,Ford,Focus,2011
T6428M116RUS,2.0,6000.0,Ford,Focus,1991
Y7129Y50RUS,2.0,32000.0,Ford,Focus,2012
Y418EX197RUS,2.0,900.0,Volkswagen,Passat,2011
Y7689C197RUS,1.0,27000.0,Ford,Focus,2005
7066C8197RUS,1.0,3000.0,Volkswagen,Passat,2013
E52877152RUS,1.0,1500.0,Ford,Focus,2007
7369C8197RUS,2.0,8594.5864661654,Ford,Focus,2002
Y166O8161RUS,1.0,100.0,Ford,Focus,1983
705287163RUS,2.0,2000.0,Ford,Focus,2011
K559KC161RUS,1.0,100.0,Ford,Focus,2011
M0299X197RUS,2.0,67200.0,Ford,Focus,2008
92928M178RUS,1.0,600.0,Ford,Focus,1989
9822H8161RUS,1.0,200.0,Ford,Focus,1995
8603T8154RUS,1.0,3000.0,Ford,Focus,2007
84418C154RUS,1.0,3000.0,Ford,Focus,2005
E53488152RUS,2.0,1800.0,Ford,Focus,1987
9697MO178RUS,1.0,500.0,Volkswagen,Golf,2002
Y7709C197RUS,1.0,1500.0,Ford,Focus,2012
90159H178RUS,2.0,600.0,Volkswagen,Passat,1982
C798ET50RUS,1.0,10000.0,Ford,Focus,1991
Y193O8161RUS,2.0,600.0,Ford,Focus,2011
7248C8197RUS,2.0,8600.0,Ford,Mondeo,1986
Y275O8197RUS,1.0,6000.0,Ford,Focus,1998
K357YE77RUS,1.0,5000.0,Volkswagen,Golf,2005
9697MO178RUS,1.0,8594.5864661654,Volkswagen,Golf,1991
E0697X152RUS,1.0,2000.0,Skoda,Octavia,2005
E40877152RUS,1.0,1000.0,Ford,Focus,1993
Y351O8197RUS,1.0,1500.0,Ford,Focus,1985
Y356O8197RUS,2.0,45900.0,Ford,Focus,2002
O6939X163RUS,1.0,7200.0,Ford,Focus,1994
Y7649C197RUS,2.0,5300.0,Ford,Focus,2015
9935TE152RUS,2.0,2500.0,Ford,Focus,1981
704687163RUS,2.0,1400.0,Ford,Focus,1993
7197TT36RUS,2.0,6800.0,Ford,Focus,1980
X765HY197RUS,2.0,41700.0,Ford,Focus,2006
H115YO163RUS,1.0,8594.5864661654,Ford,Focus,2001
O143HO197RUS,2.0,30300.0,Toyota,Corolla,1998
K436MO152RUS,1.0,1500.0,Ford,Focus,1996
9938OH154RUS,1.0,500.0,Skoda,Octavia,2014
E34877152RUS,2.0,6100.0,Ford,Focus,1996
E5878M777RUS,1.0,8500.0,Skoda,Octavia,1984
E33577152RUS,1.0,1000.0,Ford,Focus,1999
7844C8197RUS,2.0,34000.0,Ford,Focus,2009
X256HE161RUS,2.0,800.0,Ford,Focus,2000
C584EY154RUS,1.0,500.0,Ford,Focus,2018
E28977161RUS,2.0,1500.0,Ford,Focus,2015
T016OX197RUS,2.0,3200.0,Toyota,Corolla,2019
H889YK197RUS,2.0,10600.0,Ford,Focus,1993
7363C8197RUS,2.0,1600.0,Ford,Focus,2010
T6039O50RUS,2.0,1500.0,Ford,Focus,2012
7365C8197RUS,1.0,2300.0,Ford,Focus,1998
Y967O8197RUS,1.0,4000.0,Ford,Focus,2017
E816HE77RUS,1.0,3000.0,Ford,Focus,1986
T6329O50RUS,1.0,500.0,Ford,Focus,1982
X504X8197RUS,1.0,8594.5864661654,Skoda,Octavia,1999
M581CH197RUS,1.0,200.0,Ford,Focus,2011
X523OM161RUS,2.0,800.0,Ford,Focus,2014
C412X938RUS,1.0,1000.0,Ford,Focus,2008
7831C8197RUS,2.0,3400.0,Ford,Focus,2008
8164XX154RUS,2.0,4400.0,Ford,Focus,1992
H004MH197RUS,2.0,9900.0,Ford,Focus,1993
X015HY197RUS,2.0,24000.0,Toyota,Corolla,1996
T6419O50RUS,2.0,9000.0,Ford,Focus,2015
E822TH36RUS,2.0,12900.0,Ford,Focus,1995
8437XX154RUS,1.0,8594.5864661654,Ford,Focus,1995
E445TC197RUS,1.0,3400.0,Ford,Focus,1996
C515X938RUS,1.0,1900.0,Ford,Focus,2007
7172TT36RUS,2.0,5700.0,Ford,Focus,1992
8436XX154RUS,1.0,800.0,Ford,Focus,2013
E79988152RUS,1.0,500.0,Ford,Focus,2019
8180XX154RUS,1.0,2800.0,Ford,Focus,1986
84438C154RUS,2.0,3800.0,Ford,Focus,1993
T6309O50RUS,2.0,24000.0,Ford,Focus,1982
T6129O50RUS,2.0,6000.0,Ford,Focus,1988
K339T8197RUS,2.0,19200.0,Ford,Focus,2003
8685HE154RUS,1.0,2000.0,Ford,Focus,2002
X782CO96RUS,1.0,8594.5864661654,Ford,Focus,2013
E591HE77RUS,2.0,6000.0,Ford,Focus,1989
89587X197RUS,1.0,4400.0,Toyota,Camry,1999
9499KX178RUS,1.0,2300.0,Ford,Focus,2012
8818C877RUS,1.0,5000.0,Volkswagen,Passat,1980
Y357O8197RUS,1.0,2200.0,Ford,Focus,1984
Y652O8197RUS,1.0,5800.0,Volkswagen,Touareg,1992
X767HY197RUS,2.0,18000.0,Ford,Focus,1988
H220X836RUS,1.0,7000.0,Ford,Focus,1994
H218X836RUS,2.0,17500.0,Ford,Focus,2000
T913CT197RUS,1.0,7900.0,Toyota,Camry,1999
T6439O50RUS,2.0,16500.0,Ford,Focus,2000
7784KT197RUS,2.0,13200.0,Ford,Focus,2012
X286TC36RUS,2.0,8594.5864661654,Ford,Focus,1998
O752MX161RUS,1.0,1300.0,Ford,Focus,2000
Y7449Y50RUS,1.0,8000.0,Ford,Focus,2018
H115YO163RUS,2.0,1100.0,Ford,Focus,2007
8818C877RUS,2.0,10000.0,Volkswagen,Passat,2002
92828M178RUS,1.0,300.0,Ford,Focus,2012
Y650E8750RUS,1.0,500.0,Skoda,Octavia,1990
X767HY197RUS,2.0,36000.0,Ford,Focus,1982
9498KX178RUS,2.0,800.0,Ford,Focus,2004
83298C154RUS,1.0,100.0,Ford,Focus,2013
8321XX154RUS,1.0,100.0,Ford,Focus,2005
8316XX154RUS,1.0,2200.0,Ford,Focus,1999
T017OX197RUS,2.0,12700.0,Toyota,Corolla,2003
H977HY161RUS,1.0,8594.5864661654,Ford,Focus,2017
7788KT197RUS,2.0,8594.5864661654,Ford,Focus,2016
X522OM161RUS,1.0,1500.0,Ford,Focus,1992
O085E8197RUS,1.0,300.0,Volkswagen,Golf,1981
8166XX154RUS,1.0,600.0,Ford,Focus,2013
705387163RUS,2.0,700.0,Ford,Focus,1994
O017KO197RUS,1.0,800.0,Ford,Focus,1991
X4138H125RUS,1.0,300.0,Ford,Focus,2006
8441XX154RUS,1.0,500.0,Ford,Focus,1990
M0269X197RUS,2.0,8594.5864661654,Ford,Focus,1988
7781KT197RUS,1.0,1200.0,Ford,Focus,2008
T483CT96RUS,1.0,500.0,Ford,Focus,1985
T940CC96RUS,2.0,1500.0,Ford,Focus,1992
C58078163RUS,1.0,100.0,Ford,Focus,2000
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,1997
T018OX197RUS,2.0,6800.0,Toyota,Corolla,1988
H963HY161RUS,1.0,1400.0,Ford,Focus,2008
8611T8154RUS,2.0,2000.0,Ford,Focus,1991
704787163RUS,2.0,2800.0,Ford,Focus,1987
E53488152RUS,2.0,3600.0,Ford,Focus,1982
Y7129Y50RUS,1.0,16000.0,Ford,Focus,1982
C313MM99RUS,1.0,7500.0,Toyota,Camry,2004
8611T8154RUS,1.0,1000.0,Ford,Focus,1988
X763HY197RUS,2.0,9500.0,Ford,Focus,2019
M386M9197RUS,2.0,5800.0,Volkswagen,Golf,1989
8605T8154RUS,1.0,1000.0,Ford,Focus,1996
O22297197RUS,1.0,8594.5864661654,Ford,Focus,2000
7147OE161RUS,1.0,500.0,Ford,Focus,2004
O134HE197RUS,2.0,7600.0,Ford,Focus,2001
7361C8197RUS,1.0,1600.0,Ford,Focus,2016
Y359EY197RUS,2.0,3000.0,Skoda,Octavia,1990
T6559O50RUS,1.0,4000.0,Ford,Focus,1996
E53277152RUS,1.0,500.0,Ford,Focus,1990
X015HY197RUS,1.0,8000.0,Toyota,Corolla,1992
9469EX178RUS,2.0,2100.0,Ford,Focus,1989
Y6839Y50RUS,2.0,3000.0,Ford,Focus,1995
H237YH197RUS,1.0,600.0,Ford,Focus,2016
T948OM96RUS,1.0,2000.0,Ford,Focus,1990
T395KX197RUS,2.0,15200.0,Ford,Focus,1989
M301CH161RUS,1.0,8000.0,Ford,Focus,2009
M581CH197RUS,1.0,100.0,Ford,Focus,1989
E79988152RUS,1.0,1500.0,Ford,Focus,2013
9496KX178RUS,1.0,500.0,Ford,Focus,2003
T6319O50RUS,2.0,8594.5864661654,Ford,Focus,2017
H305T8197RUS,1.0,28100.0,Ford,Focus,2013
8201XX154RUS,2.0,2600.0,Ford,Focus,1981
O64297197RUS,1.0,300.0,Ford,Focus,1992
9523M8178RUS,1.0,600.0,Skoda,Octavia,2018
Y273O8197RUS,2.0,52600.0,Ford,Focus,2003
T6229O50RUS,2.0,2500.0,Ford,Focus,1984
9943KK197RUS,2.0,19800.0,Ford,Focus,1982
X023HY197RUS,2.0,10200.0,Volvo,,2016
8226XX154RUS,2.0,1000.0,Ford,Focus,2007
Y038TO197RUS,1.0,7600.0,Toyota,Corolla,1999
M0289X197RUS,2.0,40600.0,Ford,Focus,1984
E811HE77RUS,2.0,7000.0,Ford,Focus,1990
X795O796RUS,1.0,2000.0,Ford,Focus,2013
O39997197RUS,1.0,9000.0,Ford,Focus,2014
97968K152RUS,2.0,500.0,Ford,Focus,2016
K339T8197RUS,2.0,8594.5864661654,Ford,Focus,1994
H219X836RUS,1.0,1600.0,Ford,Focus,1994
T6169O50RUS,1.0,500.0,Ford,Focus,2008
Y352O8197RUS,2.0,25900.0,Ford,Focus,1998
94178K154RUS,1.0,500.0,Ford,Focus,1983
7365C8197RUS,2.0,6900.0,Ford,Focus,1995
9467EX178RUS,2.0,3700.0,Ford,Focus,2012
O78097197RUS,2.0,1400.0,Ford,Focus,1994
X5707X161RUS,2.0,500.0,Volkswagen,Passat,2005
Y232E877RUS,2.0,5000.0,Ford,Focus,1993
Y388E877RUS,2.0,19000.0,Ford,Focus,1999
X255HE161RUS,1.0,400.0,Ford,Focus,2004
E552MO152RUS,1.0,8594.5864661654,Ford,Focus,2012
97998K152RUS,2.0,6300.0,Ford,Focus,1986
Y963O8197RUS,2.0,21600.0,Ford,Focus,2007
Y778EE197RUS,2.0,168000.0,Volkswagen,Golf,1997
T654HT96RUS,2.0,2000.0,Toyota,Corolla,1982
T477KX197RUS,2.0,94000.0,Ford,Focus,2008
T2639T116RUS,1.0,3000.0,Ford,Focus,2015
O49797197RUS,2.0,5300.0,Ford,Focus,2012
O83597197RUS,2.0,8000.0,Ford,Focus,2005
H387TM197RUS,2.0,3200.0,Volkswagen,Passat,2007
O68897197RUS,1.0,8200.0,Ford,Focus,2007
72457Y96RUS,1.0,900.0,Ford,Focus,2013
7064C8197RUS,1.0,12800.0,Volkswagen,Passat,2008
E948C8152RUS,2.0,6000.0,Ford,Focus,2006
C514X938RUS,2.0,8594.5864661654,Ford,Focus,2007
C589EY154RUS,1.0,4500.0,Ford,Focus,2004
K899T8197RUS,2.0,15400.0,Ford,Focus,2019
T6418M116RUS,2.0,24600.0,Ford,Focus,2000
8607XX154RUS,2.0,2400.0,Skoda,Octavia,1992
92778M178RUS,2.0,3000.0,Ford,Focus,2017
T288CT96RUS,1.0,4500.0,Ford,Focus,2003
9886HX152RUS,2.0,2900.0,Ford,Focus,1986
C583EY154RUS,1.0,1000.0,Ford,Focus,1993
7788KT197RUS,1.0,20000.0,Ford,Focus,2007
T016OX197RUS,2.0,9600.0,Toyota,Corolla,1993
T6419O50RUS,2.0,27000.0,Ford,Focus,1986
C592EY154RUS,1.0,1000.0,Ford,Focus,1983
T6459O50RUS,1.0,2000.0,Ford,Focus,1989
Y356O8197RUS,2.0,8594.5864661654,Ford,Focus,1987
X759HY197RUS,2.0,12500.0,Ford,Focus,1988
705787163RUS,1.0,100.0,Ford,Focus,1992
Y973O8197RUS,1.0,69600.0,Ford,Focus,2000
92898M178RUS,1.0,1600.0,Ford,Focus,1984
9671EC178RUS,1.0,600.0,Ford,Focus,1982
M302CH161RUS,1.0,500.0,Ford,Focus,1996
X023HY197RUS,2.0,6800.0,Volvo,,2011
M578CH197RUS,2.0,9000.0,Ford,Focus,1987
O77997197RUS,2.0,5600.0,Ford,Focus,1999
7368C8197RUS,2.0,8800.0,Ford,Focus,1989
9683EC178RUS,2.0,6500.0,Ford,Focus,1990
Y207O8161RUS,1.0,500.0,Ford,Focus,2002
96659X178RUS,1.0,2700.0,Ford,Focus,2010
T912CT197RUS,2.0,19800.0,Toyota,Camry,2013
7183TT36RUS,2.0,16200.0,Ford,Focus,1993
89557X197RUS,2.0,22400.0,Toyota,Camry,1999
E773EH197RUS,2.0,8594.5864661654,Ford,Focus,2001
Y359O8197RUS,1.0,2000.0,Ford,Focus,1996
K2817K154RUS,1.0,4500.0,Ford,Focus,1993
X758HY197RUS,2.0,145200.0,Ford,Focus,1986
Y964O8197RUS,1.0,1000.0,Ford,Focus,2013
H967HY161RUS,2.0,4500.0,Ford,Focus,2010
E394MO152RUS,2.0,10500.0,Ford,Focus,2006
O50699163RUS,1.0,1100.0,Ford,Focus,1991
9463EX178RUS,1.0,1400.0,Ford,Focus,2008
E53677152RUS,2.0,5500.0,Ford,Focus,1994
K338T8197RUS,2.0,17400.0,Ford,Focus,2009
Y4298M777RUS,2.0,2000.0,Skoda,Octavia,2000
Y687HM197RUS,1.0,8594.5864661654,BMW,,2005
8311XX154RUS,2.0,4300.0,Ford,Focus,2002
98037H178RUS,2.0,2500.0,Ford,Focus,2011
7828C8197RUS,2.0,6700.0,Ford,Focus,1999
H980HY161RUS,2.0,1800.0,Ford,Focus,1995
H906YK197RUS,1.0,12000.0,Ford,Focus,1993
7199MT197RUS,1.0,9300.0,Volkswagen,Golf,1987
X908XC197RUS,2.0,46000.0,Volkswagen,Jetta,2017
T171CC96RUS,2.0,2000.0,Ford,Focus,1980
X4108H125RUS,2.0,1300.0,Ford,Focus,1998
Y966O8197RUS,2.0,10400.0,Ford,Focus,1985
K2797K154RUS,2.0,2400.0,Ford,Focus,1995
7089H8163RUS,2.0,4400.0,Toyota,Corolla,2011
9883HX152RUS,1.0,500.0,Ford,Focus,1985
7841C8197RUS,1.0,12000.0,Ford,Focus,1986
9940KK197RUS,1.0,8594.5864661654,Ford,Focus,2010
H224X836RUS,2.0,7000.0,Ford,Focus,2006
H971HY161RUS,2.0,7400.0,Ford,Focus,2000
M0269X197RUS,2.0,20600.0,Ford,Focus,1988
E316EH197RUS,1.0,1300.0,Volkswagen,Touareg,2019
X257HE161RUS,1.0,5000.0,Ford,Focus,1994
H844YH197RUS,2.0,3000.0,Ford,Focus,1999
9523M8178RUS,2.0,300.0,Skoda,Octavia,1989
E33477152RUS,1.0,500.0,Ford,Focus,2015
Y156E877RUS,2.0,7500.0,Ford,Focus,2012
E396MO152RUS,2.0,3000.0,Ford,Focus,2007
E0697X152RUS,2.0,8594.5864661654,Skoda,Octavia,1983
Y969O8197RUS,1.0,15600.0,Ford,Focus,1999
9028CO161RUS,1.0,1500.0,Ford,Focus,2018
7840C8197RUS,2.0,3500.0,Ford,Focus,2005
T6249O50RUS,2.0,8500.0,Ford,Focus,1987
E53677152RUS,2.0,11000.0,Ford,Focus,2009
E42377152RUS,2.0,3000.0,Ford,Focus,1989
9941KK197RUS,1.0,800.0,Ford,Focus,1989
E28877161RUS,1.0,500.0,Ford,Focus,1981
M0299X197RUS,2.0,19200.0,Ford,Focus,2005
M372CH197RUS,1.0,21600.0,Ford,Focus,2013
K040CC197RUS,2.0,3600.0,Ford,Focus,1980
E41577152RUS,2.0,3000.0,Ford,Focus,1992
9763HY161RUS,1.0,900.0,Ford,Focus,1995
T535ET96RUS,2.0,3000.0,Ford,Focus,2007
92918M178RUS,2.0,7600.0,Ford,Focus,1991
Y655E8750RUS,1.0,2600.0,Skoda,Octavia,2016
K2797K154RUS,1.0,8594.5864661654,Ford,Focus,2016
K559KC161RUS,1.0,200.0,Ford,Focus,1990
7369C8197RUS,2.0,10100.0,Ford,Focus,2015
8321XX154RUS,1.0,200.0,Ford,Focus,2011
O134HE197RUS,2.0,11400.0,Ford,Focus,1983
H961HY161RUS,2.0,2500.0,Ford,Focus,2008
M2169X197RUS,2.0,3100.0,Ford,Focus,1992
707987163RUS,1.0,1100.0,Ford,Focus,1992
8234XX154RUS,1.0,1300.0,Ford,Focus,2004
X759HY197RUS,1.0,37500.0,Ford,Focus,2010
O83697197RUS,2.0,6100.0,Ford,Focus,1988
92918M178RUS,1.0,1900.0,Ford,Focus,1982
92928M178RUS,1.0,1200.0,Ford,Focus,2000
E52677152RUS,2.0,2500.0,Ford,Focus,2013
8451M7154RUS,1.0,500.0,Ford,Focus,1994
9589EY178RUS,1.0,8594.5864661654,Ford,Focus,2003
H907YK197RUS,2.0,7100.0,Ford,Focus,1996
O39897197RUS,2.0,3800.0,Ford,Focus,2016
M3879X197RUS,2.0,6300.0,Volkswagen,Touareg,1999
C299K9154RUS,1.0,500.0,Ford,Focus,2007
